Common Defect List,Task Allocation,Saloon,Stbd Aft,Stbd Mid,Stbd Fwd,Prt Aft,Prt Passage,Prt Fwd,Aft Cockpit,Prt Engine Room,Stb Engine Room,"FWD COCKPIT, SIDE DECKS AND COACH ROOF",Extras
Leak On Basin Plumbing,PLUM,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,
Basin Mixer Loose,PLUM,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,
Basin Cross Plumbed,PLUM,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,
Junction Box Not Labeled,ELEC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Strip Lights Not Working,ELEC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,
Inverter Not Programmed On Acdc,ELEC,Yes,,,,,,,,,,,
Inverter Alarm Not Working,ELEC,Yes,,,,,,,,,,,
Watermaker Not Wired,ELEC,Yes,,,,,,Yes,,,,,
Loose Wires Behind Acdc,ELEC,Yes,,,,,,,,,,,
Bilge Override Lights Not Working,ELEC,Yes,,,,,,,,,,,
Filter Tap Fitted Wrong (Too Tight),PLUM,Yes,,,,,,,,,,,
Galley Fridge Not Working,ELEC,Yes,,,,,,,,,,,
Genset Isolator Switch Not Mounted,CARP,Yes,,,,,,,,,,,
2X Amplifiers Not Fitted,ELEC,Yes,,,,,,,,,,,
Saloon Clear Plastic Db Cover Not Mounted,FA,Yes,,,,,,,,,,,
Table Top Not Installed,CARP,Yes,,,,,,,,,,,
Fire Blanket Not Fitted (Sf),CARP,Yes,,,,,,,,,,,
House Batteries Not Booted,ELEC,Yes,,,,,,,,,,,
Mfd Not Showing Volts And Amps Of House Battery,ELEC,Yes,,,,,,,Yes,,,,
Co2 Sensor Not Mounted,CARP,Yes,,,,,,,,,,,
Autopilot Cross Wired,ELEC,Yes,,,,,,,Yes,,,,
Galley Fridge Compressor Loosely Mounted,CARP,Yes,,,,,,,,,,,
Saloon Tap Weight Mounted On Wrong Side Of Hose,PLUM,Yes,,,,,,,,,,,
Telly Mute Not Working,ELEC,Yes,,,,,,,,,,,
Nmma Label Needs To Be Mounted,FA,Yes,,,,,,,,,,,
Inverter Alarm Not Working,ELEC,Yes,,,,,,,,,,,
Aircon Switching On Wrong Pump,ELEC,Yes,Yes,,Yes,Yes,,Yes,,,,,
Incomplete Wiring Behind Acdc Panel,ELEC,Yes,,,,,,,,,,,
Incomplete Wiring At Main Saloon Db,ELEC,Yes,,,,,,,,,,,
Aircon Not Working,ELEC,Yes,Yes,,Yes,Yes,,Yes,,,,,
Saloon Door Needs To Be Set,CARP,Yes,,,,,,,,,,,
Aircon Not Draining,PLUM,Yes,Yes,,Yes,Yes,,Yes,,,,,
Incomplete Wiring On Db,ELEC,Yes,Yes,,,Yes,,Yes,,,,,
Speakers Not Working,ELEC,Yes,,,,,,,Yes,,,Yes,
Shower Mixer Loose,PLUM,,Yes,Yes,Yes,Yes,,Yes,,,,,
Swim Ladder Bolts Loose,DECK,,,,,,,,Yes,,,,
Ecu Not Labeled,ELEC,,,,,,,,,Yes,Yes,,
Topup Engine Fluids,MECH,,,,,,,,,Yes,Yes,,
Fuel Prefilter Pipe Clamps Loose,MECH,,,,,,,,,Yes,Yes,,
Expansion Tank Pipe Clamps Loose,MECH,,,,,,,,,Yes,Yes,,
Debree In Water Tank,PLUM,,Yes,Yes,,Yes,,,,,,,
Toilet Seat Loose,PLUM,,Yes,Yes,Yes,Yes,,Yes,,,,,
Water Tank Brace Loose,MECH,,Yes,Yes,,Yes,,,,,,,
Toilet Roll Holder Loose,CARP,,Yes,Yes,Yes,Yes,,Yes,,,,,
Shower Sump Not Working,ELEC,,Yes,Yes,Yes,Yes,,Yes,,,,,
Morse Control Splitpins Not Properly Bent Open,MECH,,,,,,,,,Yes,Yes,,
Loose L-Bracket On Starter Motor,MECH,,,,,,,,,Yes,Yes,,
Steering Cable Loose,MECH,,,,,,,,,Yes,Yes,,
Missing Labels At Filters Outboard,MECH,,,,,,,,,Yes,Yes,,
Missing Label On Battery,MECH,,,,,,,,,Yes,Yes,,
Shower Rose Leaking,PLUM,,Yes,Yes,Yes,Yes,,Yes,,,,,
Shower Mixer Leaking,PLUM,,Yes,Yes,Yes,Yes,,Yes,,,,,
Touch Light Not Working,ELEC,,,,,,,Yes,,Yes,Yes,Yes,
Waste Tank Leaking,PLUM,,Yes,Yes,Yes,,Yes,,,,,,
Leak On Toilet Plumbing,PLUM,,Yes,Yes,Yes,Yes,,Yes,,,,,
Davit Skew,DECK,,,,,,,,Yes,,,,
Fuel Tank Brace Loose,MECH,,Yes,,,Yes,,,,,,,
Fuel Clamps Loose At Bulkhead,MECH,,Yes,,,Yes,,,,Yes,Yes,,
Toilet Base Loose,PLUM,,Yes,Yes,Yes,Yes,,Yes,,,,,
High Level Float Not Working,ELEC,,Yes,Yes,,,Yes,,,,,,
Low Level Float Not Working,ELEC,,Yes,Yes,,,Yes,,,,,,
Engine Fuse Not Covered,ELEC,,,,,,,,,Yes,Yes,,
Morse Control Splitpins Not Properly Bent Open,MECH,,,,,,,,,Yes,Yes,,
Battery Link Not Working,ELEC,,,,,,,,Yes,Yes,Yes,,
Aircon Pump Not Working,ELEC,,,,Yes,,Yes,,,,,,
Toilet Anti-Syphen Leaking,PLUM,,Yes,Yes,Yes,Yes,,Yes,,,,,
Toilet Fresh Water Solenoid Not Working,ELEC,,Yes,Yes,Yes,Yes,,Yes,,,,,
Touchlight In High Voltage Locker Not Working,ELEC,,,,,,Yes,,,,,,
Waste Tank Indicator Not Working,ELEC,,Yes,Yes,Yes,Yes,,Yes,,,,,
Vhf Wire Not Pulled Through,ELEC,,,,,,,,Yes,,,,
Cabin Fan Not Working,ELEC,,Yes,Yes,Yes,Yes,,Yes,,,,,
Waste Tank Indicator Light Not Fitted,ELEC,,Yes,Yes,Yes,Yes,,Yes,,,,,
Missing Salt/Fresh Label At Toilet,PLUM,,Yes,Yes,Yes,Yes,,Yes,,,,,
Shower Leaking Into Bilge,PLUM,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
Toilet Salt/Fresh Is Cross Wired,ELEC,,Yes,Yes,Yes,Yes,,Yes,,,,,
Shower Head Leaking,PLUM,,Yes,Yes,Yes,Yes,,Yes,,,,,
Toilet Flush Defective,PLUM,,Yes,Yes,Yes,Yes,,Yes,,,,,
Incorrect Wiring On Finder Relay For Genset,ELEC,,,,,,,Yes,,,,,
Cabin Door Missing A Magnet Stopper,CARP,,Yes,Yes,Yes,Yes,,Yes,,,,,
Leak On Water Heater,PLUM,,Yes,,,Yes,,,,,,,
Toilet Flush Is Cross Wired,ELEC,,Yes,Yes,Yes,Yes,,Yes,,,,,
Aircon Pump Pipes Leaking,PLUM,,,,Yes,,Yes,,,,,,
Inverter Fans Not Working,ELEC,,,,,,Yes,,,,,,
Inverter Touch Light Not Working,ELEC,,,,,,Yes,,,,,,
Aircon Connection Box Not Labeled,ELEC,,,,Yes,,Yes,,,,,,
Aircon Box Incorrectly Wired,ELEC,,,,Yes,,Yes,,,,,,
Missing Timmer Module For Aircon Relays,ELEC,,,,Yes,,Yes,,,,,,
Hin Number Incorrect,FA,,,,,,,,Yes,,,,
Hin Number Sticker Not Fitted,FA,,,,,,,,Yes,,,,
Shore Power Label Not Fitted,FA,,,,,,,,Yes,,,,
R&C Decal Label / Dome Tag,FA,,,,,,,,Yes,,,,
Jammer Labels Not Fitted,DECK,,,,,,,,Yes,,,Yes,
Raymic Fitting Upside Down,DECK,,,,,,,,Yes,,,,
Battery Cover Not Fitted,MECH,,,,,,,Yes,,Yes,Yes,,
Ecu Not Labeled,ELEC,,,,,,,,,Yes,Yes,,
Loose Wire On Starter Solenoid,ELEC,,,,,,,,,Yes,Yes,,
Galvanic Isolator Wires Loose,ELEC,,,,,,,,,Yes,,,
Steering Bar Laying On Raw Fibre Glass,MECH,,,,,,,,,Yes,Yes,,
Alternator Negative Wire Not Connected,ELEC,,,,,,,,,Yes,Yes,,
Morse Control Cables Are Badly Routed,MECH,,Yes,,,,,,,Yes,Yes,,
Shore Power Breakers Not Labeled And No Rail Stopper,ELEC,,,,,,,,,Yes,,,
Engine Harness Not Strapped Up,ELEC,,,,,,,,,Yes,Yes,,
Engine Revs Do Not Align,MECH,,,,,,,,Yes,Yes,Yes,,
No Teak Steps To Coach Roof Fitted,CARP,,,,,,,,Yes,,,,
Pulleys And Rope Painter Needs To Be Installed,DECK,,,,,,,,,,,Yes,
Boom Labels Needs To Be Fitted,DECK,,,,,,,,,,,Yes,
Oven Gas Shutoff Label Not Fitted,PLUM,,,,,,,,,,,Yes,
Mfd Needs To Be Updated,ELEC,,,,,,,,Yes,,,,
Genset Breaker Not Labeled,ELEC,,,,,,,,,,,Yes,
Gas Solenoid Not Wired,ELEC,,,,,,,,,,,Yes,
Aircon Display Covers (Sf),,,,,,,,,,,,,Yes
All Fire Extinguishers To Be Installed (Sf),,,,,,,,,,,,,Yes
